Name,Start Datetime,End Datetime,Time,Percent,Points Earned,Points Possible,ইসলামের মূল বিষয়গুলোর প্রতি পূর্ণ বিশ্বাসকে কী বলা হয়?,ইমানের মূল কথা মানুষকে করে তোলে-,কুফর শব্দের অর্থ কী?,তাওহিদের বিপরীত কী?,তাওহিদের বিশ্বাসের মাধ্যমে সমাজে কোনটি প্রতিষ্ঠিত হয়?,নিম্নের কাদের জীবন চরম হতাশাগ্রস্তভাবে অতিবাহিত হয়?,"তিনি পানাহার, নিদ্রা, তন্দ্রা, ক্লান্তি সবকিছু থেকে মুক্ত তিনি কে?",ইমান ও ইসলামের সাথে সম্পর্ক কীরূপ?,শরিয়ত বলতে বুঝায়-,মুসলিম মনীষীগণ শরিয়তের বিষয়বস্তুকে প্রধানত কয়টি ভাগে ভাগ করেছেন?,শরিয়তের প্রথম ও প্রধান উৎস কোনটি?,ইসলামের সর্বাধিক গুরুত্বপূর্ণ ভিত্তি কী?,হাদিসের মূল বক্তব্যকে কী বলা হয়?,হিজরি কোন শতক হাদিস সংকলনের স্বর্ণযুগ?,রাসূল(স) এর মৌন সম্মতিমূলক হাদিসকে বলে-,শরিয়তের দ্বিতীয় কাঠামো কী? i. কুরআন মাজিদ ii. সুন্নাহ iii. ইজমা নিচের কোনটি সঠিক?,পবিত্র কুরআনের ব্যাখ্যা বিশ্লেষণই হচ্চে-i. সুন্নাহ ii. হাদিস iii. ইজমা নিচের কোনটি সঠিক?,রাসুলুল্লাহ্ (স) এর জীবদ্দশায় হাদিস লিখে রাখা নিষেধ ছিল কারণ i. তখন আল-কুরআন নাযিল হচ্ছিল ii. হাদিস ও কুরআনের সংমিশ্রণের আশংকা ছিল iii. আরবদের স্মৃতি শক্তি ছিল অসাধারণ নিচের কোনটি সঠিক?,মুস্তাহাব অর্থ কী?,নিচের উদ্দীপকটি পড় এবং প্রশ্নটির উত্তর দাও: কুরবানির গোশত যথারীতি ধোয়ার পর ও মিসেস ‘খ’ দেখতে পান যে কিছু রক্ত পানির সাথে বেরিয়ে আসছে। এমতাবস্থায় তিনি উহা রান্না করে পরিবারের সবাইকে নিয়ে খান। উক্ত গোশত খাওয়ার ব্যাপারে ইসলামের বিধান কী?,নিচের উদ্দীপকটি পড় এবং প্রশ্নটির উত্তর দাও: কুরবানির গোশত যথারীতি ধোয়ার পর ও মিসেস ‘খ’ দেখতে পান যে কিছু রক্ত পানির সাথে বেরিয়ে আসছে। এমতাবস্থায় তিনি উহা রান্না করে পরিবারের সবাইকে নিয়ে খান। মিসেস ‘খ’ এর উক্ত কাজের মাধ্যমে প্রকাশ পেয়েছে-,ইসলামের কোন মূলস্তম্ভের বর্ণনায় একটি সুরা অবতীর্র্ণ হয়েছে?,ইসলাম শিক্ষার সাথে কোনটির সমন্বয় থাকতে হবে?,সাওম পালনের মাধ্যমে প্রশিক্ষণ লাভ করা যায়-,‘ইবাদত’ বলতে বোঝায়-,পারিশ্রমিকের বিনিময়ে অন্যের কাজ করে শ্রমের মুল্য গ্রহণ করা,কোনটি হাক্কুল্লাহ এর অন্তর্ভুক্ত?,কোন ইবাদত মানুষকে অশ্লীল ও খারাপ কাজ থেকে বিরত রাখে?,সালাত কোন দুটি জিনিসের মধ্যে পার্থক্যকারী?,ইবাদত কয় প্রকার?
T01190001viru,2021-06-28 17:32:07+06:00,2021-06-28 17:58:18+06:00,0:25:29,80,24.00,30.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,0,1.00,1.00,0,0,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00
T01190003TREK,2021-06-28 17:53:38+06:00,2021-06-28 18:08:38+06:00,0:14:16,93,28.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
T011900051mima,2021-06-28 17:31:48+06:00,2021-06-28 17:33:14+06:00,0:00:38,37,11.00,30.00,1.00,0,0,0,0,0,1.00,0,0,1.00,0,1.00,0,0,0,0,0,0,1.00,0,1.00,0,1.00,0,0,1.00,1.00,0,1.00,1.00
T01190008fuad,2021-06-28 17:31:38+06:00,2021-06-28 17:45:38+06:00,0:13:19,50,15.00,30.00,1.00,0,0,1.00,0,0,1.00,1.00,1.00,0,1.00,0,0,0,0,1.00,0,0,0,0,0,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00
T01190009ZooM,2021-06-28 17:43:09+06:00,2021-06-28 17:59:26+06:00,0:15:42,73,22.00,30.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,0,0,1.00,0,0,0,1.00,1.00,1.00,1.00,1.00
T01190011muki,2021-06-28 17:32:27+06:00,2021-06-28 18:01:11+06:00,0:28:07,73,22.00,30.00,1.00,0,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,0,1.00,1.00,1.00,0,1.00,0,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,0,1.00,1.00
T01190012ridv,2021-06-28 17:33:53+06:00,2021-06-28 17:52:30+06:00,0:13:32,90,27.00,30.00,1.00,0,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00
T01190013ratu,2021-06-28 17:33:55+06:00,2021-06-28 17:51:30+06:00,0:12:30,80,24.00,30.00,1.00,0,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,0,1.00,1.00,1.00,0,1.00
T01190014HLCD,2021-06-28 17:31:35+06:00,2021-06-28 17:45:54+06:00,0:11:49,73,22.00,30.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,0,0,0,0,0,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00
T01190018SOGO,2021-06-28 17:30:56+06:00,2021-06-28 17:49:18+06:00,0:15:16,83,25.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,0,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00
T01190020MNHZ,2021-06-28 17:31:35+06:00,2021-06-28 17:50:20+06:00,0:18:06,90,27.00,30.00,1.00,0,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
T01190023taha,2021-06-28 17:34:10+06:00,2021-06-28 17:59:27+06:00,0:24:16,77,23.00,30.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,0,0,1.00,0,1.00,0,1.00,1.00,1.00,0,1.00
T01190026MASM,2021-06-28 17:36:16+06:00,2021-06-28 17:40:56+06:00,0:04:03,60,18.00,30.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,0,1.00,0,0,1.00,0,0,0,0,0,0,0,1.00,1.00,1.00,1.00,1.00,1.00
T01190027MDAD,2021-06-28 17:31:08+06:00,2021-06-28 17:51:21+06:00,0:19:06,83,25.00,30.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,0,1.00,1.00
T01190028vabi,2021-06-28 17:31:27+06:00,2021-06-28 17:50:27+06:00,0:18:21,83,25.00,30.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,0,1.00,1.00,1.00,1.00,0,1.00
T01190029HLCD,2021-06-28 18:00:22+06:00,2021-06-28 18:17:47+06:00,0:15:14,100,30.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
T01190035MSRM,2021-06-28 17:48:14+06:00,2021-06-28 17:56:40+06:00,0:07:51,77,23.00,30.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,0,1.00,1.00,0,0,1.00
T01190036MSMC,2021-06-28 17:32:40+06:00,2021-06-28 17:42:37+06:00,0:09:05,43,13.00,30.00,1.00,0,1.00,1.00,1.00,0,0,1.00,1.00,1.00,1.00,0,1.00,0,0,0,0,1.00,0,0,0,0,0,0,0,1.00,0,0,1.00,1.00
T01190039TTTT,2021-06-28 17:30:39+06:00,2021-06-28 18:05:42+06:00,0:34:12,27,8.00,30.00,-3.00,0,0,0,-3.00,1.00,1.00,0,1.00,0,-3.00,0,0,0,0,1.00,0,1.00,0,-3.00,1.00,-3.00,0,0,0,1.00,1.00,0,-3.00,0
T01190043BINA,2021-06-28 17:34:06+06:00,2021-06-28 18:06:19+06:00,0:30:49,60,18.00,30.00,1.00,0,1.00,1.00,1.00,0,1.00,0,1.00,0,1.00,0,0,0,1.00,1.00,0,0,0,1.00,1.00,0,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00
T01190044siam,2021-06-28 17:50:14+06:00,2021-06-28 17:51:53+06:00,0:00:35,20,6.00,30.00,0,0,0,0,0,1.00,0,0,0,0,0,1.00,0,1.00,0,0,0,0,0,1.00,0,1.00,1.00,0,0,0,0,0,0,0
T01190050dcba,2021-06-28 17:36:05+06:00,2021-06-28 17:46:52+06:00,0:10:14,50,15.00,30.00,1.00,0,0,1.00,0,0,1.00,0,1.00,0,1.00,1.00,1.00,1.00,0,0,0,0,0,1.00,0,1.00,1.00,0,1.00,1.00,0,0,1.00,1.00
T01190065hdhd,2021-06-28 17:43:48+06:00,2021-06-28 18:00:49+06:00,0:16:10,100,30.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
T01190066HLCI,2021-06-28 17:31:34+06:00,2021-06-28 17:44:14+06:00,0:11:16,67,20.00,30.00,1.00,0,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,0,1.00,1.00,0,0,0,1.00,1.00,0,0,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
