Name,Start Datetime,End Datetime,Time,Percent,Points Earned,Points Possible,কার নেতৃত্বে ‘তমদ্দুন মজলিস’ গড়ে ওঠে?,ভাষা আন্দোলন পূর্ব বাংলায় কোন ভাবাদর্শ ছড়িয়ে দেয়?,নিচের কোনটি বাঙালিদের স্বাধীনতার মন্ত্রে উজ্জীবিত করে?,১৫ই মার্চ সংগ্রাম পরিষদের সঙ্গে ৮ দফা চুক্তিতে স্বাক্ষর করেন কে?,১৯৬৯ সালের গণঅভ্যুত্থানের মূল কারণ ছিল-i. বাংলার নেতাদের আটক ii. বাংলার স্বায়ত্তশাসন দাবি iii. ভাষার দাবি আদায়। নিচের কোনটি সঠিক?,বাঙালির মুক্তির সনদ ছয়দফা কোথায় পেশ করা হয়?,‘স্মৃতির মিনার’ কবিতাটির রচয়িতা কে?,মহান মুক্তিযুদ্ধে নারীদের ভূমিকা কেমন ছিল?,মুজিবনগর সরকারগঠনের প্রধান উদ্দেশ্য কী ছিল? i. মুক্তিযুদ্ধ পরিচালনার জন্য বিভিন্ন বাহিনী গঠন ii. বাংলাদেশের পক্ষে বিশ্বজনমত সৃষ্টি করা iii. রাজনৈতিক নেতৃত্ব ও দল গঠন করা। নিচের কোনটি সঠিক?,শিল্পী জর্জ হ্যারিসন মুক্তিযুদ্ধে বিম্ব জনমত সৃষ্টি করেন কোনটির দ্বারা?,রাষ্ট্রপতি ও মুক্তিযুদ্ধের সর্বাধিনায়ক কে ছিলেন?,বাংলাদেশ সর্বপ্রথম কোন সংস্থার সদসপদ লাভ করেন?,বাঙালির ইতিহাসে কোনটি কালরাত্রি হিসেবে পরিচিত?,মুক্তিবাহিনীতে একক গোষ্ঠী হিসেবে কাদের সংখ্যা সবচেয়ে বেশি ছিল?,বিশ্বশান্তি পরিষদ বঙ্গবন্ধু শেখ মুজিবকে কী উপাধিতে ভূষিত করে?,১৯৭০ সালের নির্বাচনের ফলে-,টারশিয়ারি যুগের পাহাড় হলো-i. কিওক্রাডং ii. লালমাই iii. চিকনাগুল। নিচের কোনটি সঠিক?,ভাওয়ালের সোপানভূমি কোন সময়ে গঠিত?,গড় হিসাবে বাংলাদেশের উষ্ণতম মাস কোনটি?,বাংলাদেশের মধ্যভাগ দিয়ে কোন রেখা অতিক্রম করেছে?,বাংলাদেশের কতভাগ ভূমি প্লাবন সমভূমি?,মোদকমুয়াল-,ঢাকা ভূমিকম্পের কোন বলয়ে অবস্থিত?,নিচের অনুচ্ছেদটি পড় এবং প্রশ্নটির উত্তর দাও: একটি বিশেষ শাসন ব্যবস্থায় জনগণই ভোটের মাধ্যমে জনপ্রতিনিধি নির্বাচিত করে। নির্বাচিত জনপ্রতিনিধিগণ প্রয়োজনে সিদ্ধান্ত গ্রহণ করে থাকেন। তাদের গৃহিত সিদ্ধান্ত কখনো নতুন আইন হিসেবে চালু হতে পারে। উদ্দীপকটি কোন শাসনব্যবস্থার ইঙ্গিত দেয়?,নিচের অনুচ্ছেদটি পড় এবং প্রশ্নটির উত্তর দাও: একটি বিশেষ শাসন ব্যবস্থায় জনগণই ভোটের মাধ্যমে জনপ্রতিনিধি নির্বাচিত করে। নির্বাচিত জনপ্রতিনিধিগণ প্রয়োজনে সিদ্ধান্ত গ্রহণ করে থাকেন। তাদের গৃহিত সিদ্ধান্ত কখনো নতুন আইন হিসেবে চালু হতে পারে। উদ্দীপকে বর্ণিত আইনের উৎস কোনটি?,নাগরিক স্বাধীনতার রক্ষাকবচ কোনটি?,স্বয়ংসম্পূর্ণ জীবনযাপনের জন্য কতিপয় পরিবার ও গ্রামের সমন্বয়ে গঠিত সংগঠনই রাষ্ট্র। এ সংজ্ঞাটি কে দিয়েছেন?,রাষ্ট্র গঠনের মুখ্য উপাাদন কোনটি?,রাষ্ট্রের অপরিহার্য কাজ নয় কোনটি?,লর্ড ব্রাইসের নীতি অনুসারে সুনাগরিকের গুণাবলি কয়টি?
T01190001viru,2021-06-26 17:32:08+06:00,2021-06-26 17:53:00+06:00,0:19:30,90,27.00,30.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
T01190003TREK,2021-06-26 17:46:25+06:00,2021-06-26 17:59:11+06:00,0:12:06,90,27.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00
T01190009ZooM,2021-06-26 17:51:19+06:00,2021-06-26 18:05:02+06:00,0:13:12,80,24.00,30.00,1.00,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,0,1.00,0,1.00,0,1.00,1.00,1.00,1.00
T01190010TROY,2021-06-26 17:30:26+06:00,2021-06-26 17:57:12+06:00,0:25:01,87,26.00,30.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,0,1.00,1.00,1.00,1.00,0
T01190011muki,2021-06-26 17:33:05+06:00,2021-06-26 18:06:17+06:00,0:32:35,63,19.00,30.00,1.00,1.00,0,0,0,0,0,1.00,0,0,1.00,1.00,1.00,1.00,0,0,1.00,1.00,1.00,1.00,1.00,0,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00
T01190012ridv,2021-06-26 17:33:20+06:00,2021-06-26 17:53:13+06:00,0:19:01,93,28.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
T01190013ratu,2021-06-26 17:33:14+06:00,2021-06-26 17:46:02+06:00,0:11:36,87,26.00,30.00,1.00,0,1.00,1.00,0,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
T01190014HLCD,2021-06-26 17:30:49+06:00,2021-06-26 17:38:46+06:00,0:07:06,43,13.00,30.00,1.00,1.00,0,0,1.00,0,0,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,0,0,1.00,0,0,0,1.00,0,0,0,0,0,0
T01190016PUBG,2021-06-26 17:43:58+06:00,2021-06-26 17:58:07+06:00,0:11:48,37,11.00,30.00,0,1.00,1.00,1.00,0,0,0,1.00,0,1.00,1.00,0,1.00,1.00,0,0,0,0,1.00,0,0,0,0,1.00,1.00,0,0,0,0,0
T01190018SOGO,2021-06-26 17:31:00+06:00,2021-06-26 18:01:40+06:00,0:26:36,90,27.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0
T01190020MNHZ,2021-06-26 17:32:33+06:00,2021-06-26 17:53:26+06:00,0:20:11,90,27.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0
T01190023taha,2021-06-26 17:31:59+06:00,2021-06-26 17:47:13+06:00,0:14:18,80,24.00,30.00,1.00,1.00,0,1.00,1.00,0,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,0,1.00,1.00
T01190026MASM,2021-06-26 17:33:16+06:00,2021-06-26 17:38:44+06:00,0:04:51,40,12.00,30.00,1.00,1.00,1.00,0,0,0,1.00,1.00,1.00,0,1.00,0,1.00,1.00,0,0,0,1.00,1.00,0,0,0,0,1.00,0,0,0,0,0,0
T01190027MDAD,2021-06-26 17:32:25+06:00,2021-06-26 17:49:52+06:00,0:16:29,77,23.00,30.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,0,1.00,0,0,0
T01190028vabi,2021-06-26 17:31:19+06:00,2021-06-26 17:49:22+06:00,0:17:22,87,26.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,0,1.00,1.00
T01190033faru,2021-06-26 17:56:30+06:00,2021-06-26 18:00:51+06:00,0:03:37,43,13.00,30.00,0,0,0,0,0,1.00,0,1.00,0,1.00,1.00,0,1.00,1.00,0,0,0,1.00,0,0,1.00,0,0,1.00,1.00,0,0,1.00,1.00,1.00
T01190035MSRM,2021-06-26 17:45:11+06:00,2021-06-26 17:56:53+06:00,0:11:14,93,28.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
T01190039TTTT,2021-06-26 17:39:56+06:00,2021-06-26 18:01:37+06:00,0:20:58,50,15.00,30.00,0,1.00,1.00,0,0,0,0,1.00,1.00,1.00,1.00,0,1.00,1.00,0,0,0,0,1.00,1.00,1.00,0,0,1.00,1.00,1.00,0,1.00,0,0
T01190043BINA,2021-06-26 17:37:29+06:00,2021-06-26 17:58:58+06:00,0:20:08,73,22.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,0,1.00,1.00,0,0,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,0,1.00,1.00,0,0
T01190045Kona,2021-06-26 17:43:34+06:00,2021-06-26 18:01:00+06:00,0:16:26,50,15.00,30.00,1.00,0,1.00,1.00,0,1.00,0,1.00,0,0,1.00,1.00,1.00,0,0,0,0,1.00,1.00,1.00,0,0,1.00,0,1.00,1.00,0,1.00,0,0
T01190049SAKI,2021-06-26 17:32:14+06:00,2021-06-26 17:51:42+06:00,0:15:47,80,24.00,30.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,0,0,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0
T01190050dcba,2021-06-26 17:32:43+06:00,2021-06-26 17:42:39+06:00,0:09:03,50,15.00,30.00,1.00,0,1.00,1.00,0,0,0,0,0,1.00,1.00,0,1.00,1.00,1.00,0,0,1.00,0,1.00,0,0,1.00,1.00,1.00,0,1.00,0,0,1.00
T01190053SAMI,2021-06-26 17:57:12+06:00,2021-06-26 18:06:54+06:00,0:06:55,83,25.00,30.00,0,1.00,1.00,1.00,1.00,1.00,0,1.00,0,1.00,1.00,0,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
T01190057jnat,2021-06-26 17:30:25+06:00,2021-06-26 17:48:57+06:00,0:17:44,50,15.00,30.00,0,0,0,1.00,0,0,0,1.00,0,0,1.00,0,1.00,1.00,0,0,0,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,0,0,1.00
T01190062AAAA,2021-06-26 17:30:27+06:00,2021-06-26 17:50:36+06:00,0:18:35,47,14.00,30.00,0,1.00,0,0,1.00,0,0,1.00,1.00,1.00,1.00,0,1.00,1.00,0,0,0,1.00,1.00,0,1.00,0,0,1.00,1.00,1.00,0,0,0,0
T01190065hdhd,2021-06-26 17:39:03+06:00,2021-06-26 18:00:39+06:00,0:20:34,100,30.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
T01190066HLCI,2021-06-26 17:31:05+06:00,2021-06-26 17:58:09+06:00,0:26:11,80,24.00,30.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,0,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00
