Name,Start Datetime,End Datetime,Time,Percent,Points Earned,Points Possible,নিচের কোনটি অ্যারোমেটিক হাইড্রোকার্বন?,অ্যালডিহাইড এর কার্যকরী মুলক কোনটি? ,অ্যালকোহলের সাধারন সংকেত কী?,ফরমালিন কী?,অসম্পৃক্ত হাইড্রোকার্বনের ক্ষুদ্রতম সদস্য কোনটি?,CH3CH2Br + NaOH(alc)→ A + NaBr + H2O; উদ্দীপকের বিক্রিয়াটিতে A কী?,CH3CH2Br + NaOH(alc)→ A + NaBr + H2O; উদ্দীপকের বিক্রিয়াটিতে A - i.ব্রোমিনের লাল বর্ণ দুরীভূত করে ii. থেকে ইথেন প্রস্তুত করা যায় iii. থেকে ইথানল প্রস্তুত করা যায়; নিচের কোনটি সঠিক?,CaC2 + H2O→ A + Ca(OH)2;  উদ্দীপকের বিক্রিয়াটিতে A - i.ফল পাকাতে সাহায্য করে ii. পানিতে দ্রবীভূত করলে ইথান্যাল পাওয়া যায় iii. ব্রোমিন দ্রবন পরীক্ষা দেয়; নিচের কোনটি সঠিক?,কোনটি মুক্ত শিকল হাইড্রোকার্বন?,মৃদু সূর্যালোকে মিথেন ও ক্লোরিনের বিক্রিয়ায় উৎপন্ন করে- i.মিথিলিন ক্লোরাইড ii. কার্বন টেট্রাক্লোরাইড iii. ক্লোরোফরম; নিচের কোনটি সঠিক?,মিথানলে তীব্র জারনে কোনটি পাওয়া যায়?,ইথিন এর বেয়ার পরীক্ষায় কোনটি উৎপন্ন হয়?,ফসফরিক এসিডের উপস্থিতিতে উচ্চ তাপমাত্রায় ইথিনের সাথে পানি যোগ করলে কোনটি পাওয়া যায?,জীবাশ্ম জালানী- i.কাঠ ii. কয়লা iii. পেট্রোল; নিচের কোনটি সঠিক?,CH3CH2OH + H2SO4(Conc.)[1700C] → A + H2O.H2SO4 ;উদ্দীপকের কোনটি হাইড্রোকার্বন? ,CH3CH2OH + H2SO4(Conc.)[1700C] → A + H2O.H2SO4 ; উদ্দীপকের বিক্রিয়াটিতে- i. H2SO4  নিরুদক ii. পানি অপসারিত হয় iii. CH3CH2OH নিরুদক; নিচের কোনটি সঠিক? ,বদ্ধশিকল অ্যালিফেটিক হাইড্রোকার্বনকে কি বলে?,কোনটিকে প্যারাফিন বলা হয়?,সাইক্লোহেক্সিন এর আনবিক ভর কত?,অ্যালকোহলের মৃদু জারনে কোনটি পাওয়া যায়?,কোনটি পানিতে কম দ্রবনীয়?,কোনটিতে কার্বনের জারন সংখ্যা +2 ?,কোনটি অ্যালকিন?,কোনটির সক্রিয়তা বেশী?,C5H10 থেকে বোঝা যায় - i.আনবিক ভর 70 ii. অসম্পৃক্ত iii. জালানী হিসেবে ব্যবহৃত হয়; নিচের কোনটি সঠিক?
T01190001viru,2021-07-05 17:33:38+06:00,2021-07-05 17:54:33+06:00,0:20:28,92,23.00,25.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00
T01190003TREK,2021-07-05 17:36:55+06:00,2021-07-05 17:47:02+06:00,0:09:20,84,21.00,25.00,1.00,0,1.00,0,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
T01190009ZOOM,2021-07-05 17:30:58+06:00,2021-07-05 17:47:05+06:00,0:15:41,96,24.00,25.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00
T01190010TROY,2021-07-05 17:31:19+06:00,2021-07-05 18:01:11+06:00,0:28:10,88,22.00,25.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00
T01190012ridv,2021-07-05 17:32:53+06:00,2021-07-05 17:59:19+06:00,0:25:52,88,22.00,25.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00
T01190013ratu,2021-07-05 17:32:54+06:00,2021-07-05 17:54:09+06:00,0:20:36,84,21.00,25.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,0,1.00,1.00,1.00,1.00
T01190014HLCD,2021-07-05 17:30:52+06:00,2021-07-05 17:51:51+06:00,0:19:38,72,18.00,25.00,1.00,1.00,1.00,1.00,0,0,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,0,0,0,1.00,1.00
T01190018SOGO,2021-07-05 17:31:01+06:00,2021-07-05 17:54:32+06:00,0:22:15,88,22.00,25.00,0,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00
T01190020MNHZ,2021-07-05 17:31:32+06:00,2021-07-05 17:55:18+06:00,0:22:09,68,17.00,25.00,0,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,0,1.00,1.00,0,1.00,0,1.00,1.00,0,0
T01190023taha,2021-07-05 17:35:21+06:00,2021-07-05 18:05:23+06:00,0:29:29,80,20.00,25.00,1.00,1.00,1.00,1.00,0,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,0,1.00,0,1.00
T01190026MASM,2021-07-05 17:31:52+06:00,2021-07-05 17:33:15+06:00,0:00:39,36,9.00,25.00,1.00,0,1.00,0,0,1.00,0,0,0,0,1.00,1.00,1.00,0,1.00,0,1.00,0,0,0,0,0,1.00,0,0
T01190027MDAD,2021-07-05 17:31:47+06:00,2021-07-05 17:51:28+06:00,0:19:01,76,19.00,25.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,0,1.00,1.00,0
T01190028vabi,2021-07-05 17:30:32+06:00,2021-07-05 17:45:21+06:00,0:14:20,84,21.00,25.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,0,1.00,1.00,1.00,1.00
T01190029HLCD,2021-07-05 17:41:47+06:00,2021-07-05 17:53:48+06:00,0:11:23,32,8.00,25.00,0,0,1.00,0,0,1.00,1.00,1.00,1.00,0,0,0,1.00,1.00,1.00,0,0,0,0,0,0,0,0,0,0
T01190032come,2021-07-05 17:32:21+06:00,2021-07-05 17:59:33+06:00,0:26:12,60,15.00,25.00,1.00,1.00,1.00,1.00,0,1.00,1.00,0,0,1.00,1.00,1.00,0,0,0,0,1.00,1.00,1.00,1.00,0,0,0,1.00,1.00
T01190035MSRM,2021-07-05 17:36:56+06:00,2021-07-05 17:54:30+06:00,0:16:58,84,21.00,25.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,0,0,1.00,1.00
T01190036MSMC,2021-07-05 17:46:50+06:00,2021-07-05 18:06:53+06:00,0:20:02,52,13.00,25.00,1.00,1.00,1.00,0,1.00,1.00,0,0,0,1.00,0,1.00,1.00,1.00,0,1.00,0,0,1.00,0,0,0,1.00,1.00,0
T01190039TTTT,2021-07-05 17:41:00+06:00,2021-07-05 17:52:37+06:00,0:11:09,32,8.00,25.00,1.00,0,1.00,0,0,0,0,0,1.00,0,0,1.00,0,0,1.00,0,0,0,0,1.00,0,0,1.00,0,1.00
T01190043BINA,2021-07-05 17:31:52+06:00,2021-07-05 17:59:33+06:00,0:26:49,76,19.00,25.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,0,1.00,0,0,1.00,1.00,1.00
T01190045Kona,2021-07-05 17:42:07+06:00,2021-07-05 18:04:46+06:00,0:21:45,80,20.00,25.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,0,0,0,1.00,0,1.00
T01190049SAKI,2021-07-05 17:55:27+06:00,2021-07-05 17:58:31+06:00,0:02:17,24,6.00,25.00,0,0,1.00,1.00,0,0,0,0,0,0,1.00,0,0,0,1.00,0,0,0,1.00,0,0,0,0,1.00,0
T01190050dcba,2021-07-05 17:31:26+06:00,2021-07-05 17:34:04+06:00,0:02:11,20,5.00,25.00,0,0,0,1.00,1.00,1.00,0,0,0,0,0,1.00,0,1.00,0,0,0,0,0,0,0,0,0,0,0
T01190055tabi,2021-07-05 17:32:03+06:00,2021-07-05 17:49:04+06:00,0:16:24,84,21.00,25.00,1.00,1.00,1.00,1.00,0,1.00,1.00,0,1.00,1.00,1.00,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
T01190057jnat,2021-07-05 17:30:36+06:00,2021-07-05 18:00:29+06:00,0:29:20,48,12.00,25.00,1.00,0,1.00,1.00,0,0,0,1.00,0,0,0,1.00,0,1.00,0,1.00,1.00,1.00,0,0,1.00,0,1.00,0,1.00
T01190062AAAA,2021-07-05 17:30:42+06:00,2021-07-05 17:53:25+06:00,0:16:27,44,11.00,25.00,1.00,0,1.00,1.00,0,0,0,0,1.00,0,0,1.00,1.00,0,1.00,1.00,0,1.00,0,1.00,0,0,0,0,1.00
T01190065hdhd,2021-07-05 17:46:35+06:00,2021-07-05 17:59:43+06:00,0:12:16,92,23.00,25.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
T01190066HlCI,2021-07-05 17:30:20+06:00,2021-07-05 17:58:34+06:00,0:27:31,52,13.00,25.00,1.00,1.00,1.00,1.00,0,0,0,0,1.00,0,0,1.00,1.00,1.00,0,1.00,1.00,1.00,0,0,0,0,1.00,0,1.00
